,title,new_price,list_price,rating,rating_count,img_url
51,"USB C Hub, Hiearcool Adapter USB C Dongle for MacBook Pro, 7 in 1 USB C to HDMI Multport Adapter Compatible for USB C Laptops and Other Type C Devices (4K HDMI USB3.0 SD/TF Card Reader 100W PD)",$24.99,$29.99,"39,109 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71Og586RJCL._AC_SL1500_.jpg
52,"Warrky USB C to HDMI Cable 4K [Anti-Interference Gold-Plated Plugs] 6FT Braided Type-C to HDMI Cord Thunderbolt 3/4 Compatible for MacBook Pro/Air, iMac, iPad Pro, Galaxy S8 to S22, Surface, Dell, HP",$14.99,$17.99,"14,784 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/71tf8hN2SjL._AC_SL1500_.jpg
53,"USB Type-C Cable 5pack 6ft Fast Charging 3A Quick Charger Cord, Type C to A Cable 6 Foot Compatible Samsung Galaxy S10 S9 S8 Plus, Braided Fast Charging Cable for Note 10 9 8, LG V50 V40 G8 G7(Grey)",$10.37,$17.97,"43,773 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71hLGDuvLCL._AC_SL1500_.jpg
54,"HUANUO Dual Monitor Stand, Adjustable Spring Monitor Desk Mount for 17-27 inch, Dual Monitor Mount Holds Max 14.3lbs, Computer Monitor Arms with Wide Range of Motion for Home Office",$59.99,$89.99,"17,631 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71oPdIcALXL._AC_SL1500_.jpg
55,"Original HP 64 Black Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J90AN",$19.89,$19.89,"28,070 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71Xi93qqqdS._AC_SL1500_.jpg
56,"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",N/A,N/A,"322,042 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/815cRpgAN3L._AC_SL1500_.jpg
57,Apple Lightning to USB Cable (1 m),N/A,N/A,"80,564 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/51hhaBx5PCL._AC_SL1024_.jpg
58,"Moread HDMI to VGA Adapter, Gold-Plated HDMI to VGA Adapter (Male to Female) for Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV, Chromebook, Raspberry Pi, Roku, Xbox and More - Black",$7.99,$7.99,"50,636 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71nKG2w6ENL._AC_SL1500_.jpg
59,"Original HP 62XL Black High-yield Ink | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P05AN",$45.89,$45.89,"24,810 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71Y0+glPuTL._AC_SL1500_.jpg
60,"[Apple MFi Certified] iPhone 14 13 12 11 Fast Charger, 2Pack 20W PD Type C Wall Charger Block with 6FT USB-C to Lightning Cables Compatible with iPhone 14/13/ 12/11/ XS/XR/X/ 8 Plus/iPad,White",$15.99,$25.99,"5,333 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61iflaZRxrL._AC_SL1500_.jpg
