asin_id,title,new_price,list_price,rating,rating_count,img_url
B07CPS16L4,Apple Lightning to USB Cable (1 m),N/A,N/A,"80,564 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/51hhaBx5PCL._AC_SL1024_.jpg
B08NM2GF2V,"HP Wireless Mouse X3000 G2 (28Y30AA, Black) up to 15-month battery,scroll wheel, side grips for control, travel-friendly, Blue LED, powerful 1600 DPI optical sensor, Win XP,8, 11 compatible",N/A,N/A,"19,042 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61hOgYUbUyL._AC_SL1500_.jpg
B0B1PR3TMD,[Apple MFi Certified] iPhone Charger Fast Charging 3 Pack 10 FT Lightning Cable Nylon Braided Long iPhone Charger Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE iPad and More,N/A,N/A,"5,191 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/713jkR6zEoL._SL1500_.jpg
B07T5SY43L,"HUANUO Dual Monitor Stand, Adjustable Spring Monitor Desk Mount for 17-27 inch, Dual Monitor Mount Holds Max 14.3lbs, Computer Monitor Arms with Wide Range of Motion for Home Office",N/A,N/A,"17,632 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71oPdIcALXL._AC_SL1500_.jpg
B081VHSB2V,"SD Card Reader, uni USB C Memory Card Reader Adapter USB 3.0, Supports SD/Micro SD/SDHC/SDXC/MMC [Card Not Included], Compatible for MacBook Pro, MacBook Air, iPad Pro 2018, Galaxy S21",$11.99,$19.99,"15,412 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51olZ+FM6RL._AC_US40_.jpg
B07MCYDD62,"Original HP 962 Cyan, Magenta, Yellow Ink Cartridges (3 Count -pack of 1) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3YP00AN",N/A,N/A,"7,793 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71XSbgnGXcS._AC_SL1500_.jpg
B071Y72MNW,"Original HP 64 Black Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J90AN",N/A,N/A,"28,070 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71Xi93qqqdS._AC_SL1500_.jpg
B01BYKD628,"Original HP 902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN",N/A,N/A,"20,925 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71QsmlwPUTL._AC_SL1500_.jpg
B08J4HJ98L,SanDisk 32GB (Pack of 2) Ultra microSDHC UHS-I Memory Card (2x32GB) with Adapter - SDSQUA4-032G-GN6MT,$12.95,$15.99,"101,362 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61sE6df4IgS._AC_SL1500_.jpg
B09X7CRKRZ,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",$26.06,$26.06,"37,802 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/719ZXZP+5LL._AC_SL1500_.jpg
B07232M876,"Amazon Basics USB 2.0 A-Male to Micro B Cable, 6 feet, Black",N/A,N/A,"81,198 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61d84Q0UPtL._SL1500_.jpg
B072BYGKZZ,"Amazon Basics Computer Monitor TV Replacement Power Cord - 6-Foot, Black",$7.11,$7.11,"31,136 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/710SsyCVdhL._AC_SL1500_.jpg
B09TQXKWST,"iPhone 14 13 12 11 Fast Charger, [MFi Certified] 10 FT Long USB C to Lightning Cable with 20W USB C iPhone Rapid Charging Block, Adapter for iPhone 14 13 12 11 Pro/Mini/Pro Max/X/8/iPad, 2 Pack",$19.00,$19.00,"1,686 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/617DCgRnHxL._AC_SL1500_.jpg
B00SW9JI9A,"Moread HDMI to VGA Adapter, Gold-Plated HDMI to VGA Adapter (Male to Female) for Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV, Chromebook, Raspberry Pi, Roku, Xbox and More - Black",N/A,N/A,"50,638 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71nKG2w6ENL._AC_SL1500_.jpg
B09B1GXM16,"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",$24.99,$39.99,"44,480 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71tK21fYkDL._AC_SL1500_.jpg
B07MK5DG9V,"Original HP 962XL Black High-yield Ink Cartridge | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3JA03AN",N/A,N/A,"7,778 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71YnyARzfPS._AC_SL1500_.jpg
